,target
3,0
10,1
18,0
22,0
34,1
38,1
41,0
43,0
53,0
58,0
63,0
64,0
81,1
83,0
87,0
92,0
97,0
100,0
102,0
106,0
110,0
118,0
123,0
128,0
137,0
138,0
139,0
144,0
145,1
149,0
156,1
163,0
166,0
173,0
175,0
189,0
191,0
196,0
198,0
212,0
213,0
222,0
225,0
236,0
239,0
246,1
251,0
257,1
259,0
261,0
263,0
264,0
265,0
277,0
280,0
299,0
300,1
302,1
322,1
326,1
329,0
332,0
345,0
348,0
357,0
362,0
363,0
365,0
377,0
389,0
399,1
408,1
414,0
416,0
427,0
428,0
439,0
440,0
442,0
443,0
449,0
452,1
464,0
469,1
478,0
489,0
497,1
498,0
503,1
506,0
510,0
525,1
537,1
538,0
543,1
546,0
547,0
551,0
552,0
554,0
563,0
580,0
589,1
590,1
592,0
606,1
610,1
611,0
613,0
627,1
629,0
638,0
642,0
645,0
649,1
677,0
681,1
682,1
688,0
691,0
692,0
694,0
697,0
702,1
731,0
749,0
758,1
765,1
780,0
785,1
789,1
797,0
802,0
809,0
810,1
814,0
817,1
828,0
838,0
843,0
847,0
850,0
855,0
856,0
861,0
864,0
866,0
874,1
876,0
877,1
893,0
895,0
903,0
908,0
909,0
918,0
919,1
923,0
924,0
925,0
930,0
942,0
954,0
955,1
970,0
973,1
977,0
993,0
1009,0
1011,1
1012,0
1016,0
1020,0
1021,0
1030,0
1036,1
1053,0
1066,0
1067,0
1074,1
1086,0
1087,0
1094,1
1103,1
1112,0
1129,0
1133,0
1143,1
1148,0
1150,1
1152,0
1153,0
1154,0
1157,1
1164,0
1170,0
1172,0
1176,0
1178,0
1192,0
1196,0
1200,0
1201,0
1203,0
1211,0
1213,0
1216,0
1220,0
1229,0
1230,0
1238,1
1249,0
1250,0
1252,0
1256,0
1258,1
1260,0
1276,0
1280,1
1282,0
1287,0
1300,1
1302,0
1314,0
1331,1
1333,0
1334,0
1344,0
1351,1
1353,1
1363,0
1367,1
1369,1
1372,0
1374,1
1378,0
1382,0
1389,0
1390,1
1391,0
1401,0
1404,0
1417,0
1426,0
1438,1
1443,0
1451,0
1454,1
1457,0
1473,1
1474,0
1475,0
1483,0
1488,0
1491,0
1495,0
1501,0
1511,0
1528,0
1530,1
1534,1
1537,0
1542,0
1546,0
1549,0
1557,0
1574,1
1580,0
1589,0
1592,1
1599,0
1603,0
1606,0
1607,0
1611,0
1620,1
1631,0
1635,0
1637,0
1646,1
1652,0
1653,1
1660,0
1683,0
1687,0
1692,1
1693,1
1694,0
1700,0
1708,0
1716,0
1717,0
1720,0
1726,0
1728,0
1734,0
1741,1
1743,0
1758,0
1762,0
1769,0
1785,0
1786,0
1791,0
1798,0
1802,0
1806,1
1819,0
1835,0
1836,0
1838,0
1840,0
1841,0
1845,1
1847,0
1849,0
1852,1
1855,0
1864,0
1866,1
1875,0
1876,0
1880,0
1890,0
1894,1
1900,0
1904,0
1907,1
1909,0
1915,0
1926,1
1933,1
1934,1
1937,0
1939,1
1953,0
1957,1
1958,0
1961,0
1970,1
1971,0
1979,1
1984,0
1988,1
1993,1
